code,human development index,human development percentage,education index,education percentage,life expectancy index,life expectancy percentage
101,52,756,66,789,50,845
102,4,924,30,906,33,866
103,72,677,71,753,49,847
104,38,784,36,891,21,885
105,70,696,55,825,59,832
106,61,731,48,852,75,781
107,24,814,34,891,55,840
108,49,762,59,812,52,844
109,7,913,33,892,48,848
110,81,596,81,635,54,840
111,58,738,68,783,35,865
112,44,777,10,961,32,868
113,13,853,40,878,40,857
114,6,915,19,938,10,918
115,3,930,16,946,16,890
116,39,781,25,922,68,808
117,19,830,22,926,1,976
118,16,844,73,748,5,939
119,50,760,21,927,47,850
120,69,696,57,821,17,888
201,56,749,61,807,45,851
202,57,738,56,822,12,902
203,41,779,46,859,11,909
204,12,859,13,952,4,943
205,27,807,42,873,61,825
206,66,719,67,786,28,875
207,51,758,45,863,38,863
208,68,713,65,794,44,852
209,15,847,9,962,24,877
210,34,790,49,845,27,876
211,63,726,60,808,20,885
212,55,750,50,839,22,879
213,59,738,35,891,36,865
214,74,671,76,717,15,891
215,76,659,77,708,25,877
301,26,812,29,912,56,836
302,65,721,72,749,23,879
303,32,796,62,797,9,924
304,30,801,5,966,18,887
305,53,755,54,826,19,885
306,45,776,43,870,57,835
307,29,805,64,797,41,857
308,17,844,32,892,42,856
401,22,822,53,828,53,842
402,20,829,38,884,29,873
403,1,961,3,976,2,976
404,23,814,44,863,26,876
405,9,885,23,925,51,845
406,11,863,47,858,39,859
407,2,939,1,993,62,825
408,5,919,2,992,13,901
409,8,903,8,964,46,850
410,77,655,79,688,7,929
501,18,839,15,951,69,799
502,37,785,7,964,74,781
503,35,789,4,975,77,775
504,54,755,37,886,73,786
505,48,762,24,925,79,749
506,40,779,52,837,65,815
507,33,792,39,882,63,825
508,28,807,6,966,30,872
509,10,879,18,941,8,928
510,67,716,31,893,60,831
511,14,852,11,958,3,948
601,31,800,28,916,76,780
602,21,823,27,918,37,865
603,78,654,69,760,43,853
604,43,778,51,838,14,893
605,36,786,12,952,66,811
606,47,762,41,876,67,808
607,25,813,14,952,80,746
608,60,737,17,941,58,833
609,46,768,20,937,72,786
610,42,779,26,920,81,744
611,64,721,70,760,70,793
701,73,674,58,812,78,774
702,75,671,74,744,34,866
703,62,729,63,797,64,822
704,80,611,80,673,71,789
705,79,613,78,688,31,871
706,71,695,75,732,6,939
